aX,aY,aZ,gX,gY,gZ
0.970,0.132,-0.170,-6.470,-8.301,1.526
0.963,0.149,-0.132,-1.465,-10.620,-1.526
0.953,0.142,-0.118,1.099,-9.888,-3.296
0.936,0.132,-0.132,-0.793,-7.629,-3.601
0.938,0.129,-0.149,-3.906,-4.517,-2.747
0.957,0.110,-0.165,-5.859,-2.502,-1.892
0.971,0.081,-0.173,-8.972,-1.465,-0.671
0.977,0.087,-0.175,-13.428,-0.183,0.488
0.988,0.089,-0.163,-14.587,-0.488,1.221
1.002,0.084,-0.138,-12.329,-1.587,1.099
1.011,0.063,-0.113,-9.094,-3.296,0.061
1.014,0.040,-0.088,-6.042,-4.028,-1.038
1.009,0.019,-0.080,-3.967,-3.418,-0.916
1.005,0.012,-0.084,-2.625,-2.808,0.183
1.000,0.025,-0.106,-2.625,-2.075,2.319
0.998,0.047,-0.131,-3.418,-1.221,5.127
1.004,0.072,-0.144,-4.028,-0.549,7.019
1.007,0.074,-0.146,-4.333,-0.549,7.263
1.006,0.089,-0.135,-4.395,-0.732,6.836
1.015,0.089,-0.124,-4.211,-1.343,5.676
1.009,0.083,-0.116,-3.601,-1.587,3.784
1.007,0.078,-0.111,-2.441,-1.343,2.441
1.005,0.073,-0.120,-0.366,-0.488,1.160
1.000,0.066,-0.131,0.671,0.671,0.366
0.989,0.068,-0.159,-1.404,1.160,1.099
0.988,0.089,-0.176,-4.395,1.343,2.441

0.750,1.571,-0.738,-4.944,15.137,30.823
0.719,1.814,-0.892,-29.663,15.686,29.297
0.676,2.070,-1.051,-66.528,14.771,24.292
0.645,2.265,-1.167,-103.699,8.972,10.742
0.603,2.329,-1.189,-131.592,-5.127,-13.123
0.551,2.293,-1.067,-150.208,-29.968,-45.410
0.487,2.153,-0.845,-156.494,-61.279,-82.153
0.423,1.966,-0.549,-153.992,-92.224,-119.507
0.412,1.691,-0.193,-152.161,-115.845,-155.029
0.428,1.299,0.146,-155.334,-130.432,-192.993
0.388,0.760,0.544,-156.494,-139.038,-232.056
0.309,0.113,0.958,-142.456,-144.531,-266.113
0.249,-0.535,1.301,-115.906,-142.517,-289.307
0.196,-1.105,1.499,-77.576,-134.521,-296.875
0.196,-1.652,1.597,-39.185,-119.629,-286.011
0.255,-2.087,1.570,-28.870,-88.928,-259.338
0.299,-2.378,1.384,-43.091,-46.631,-219.238
0.345,-2.452,1.140,-65.613,-8.179,-166.870
0.370,-2.337,0.829,-93.018,14.038,-109.436
0.449,-2.074,0.593,-116.699,27.771,-56.824
0.526,-1.705,0.399,-131.165,29.968,-14.038
0.714,-1.323,0.338,-137.939,25.146,12.390
0.912,-1.123,0.413,-133.606,14.893,12.268
0.922,-1.259,0.573,-95.703,0.183,-18.799
0.831,-1.576,0.755,-22.583,-13.062,-67.566
0.719,-1.953,0.833,52.612,-24.170,-105.408
0.561,-2.350,0.753,108.032,-26.001,-119.812
0.435,-2.602,0.613,127.380,-17.151,-101.501
0.378,-2.643,0.417,113.770,-5.554,-53.528
0.442,-2.463,0.271,77.393,7.019,8.179
0.577,-2.174,0.174,32.043,16.602,68.115
0.636,-1.883,0.176,0.610,22.156,111.023
0.726,-1.614,0.279,-6.348,22.949,132.996
0.771,-1.419,0.390,12.817,21.423,136.963
0.786,-1.278,0.491,53.162,17.273,128.906
0.788,-1.190,0.557,94.666,11.536,118.713
0.776,-1.131,0.597,122.742,9.277,113.831
0.737,-1.064,0.590,135.925,10.315,117.065
0.679,-0.982,0.546,139.526,14.343,127.502
0.620,-0.848,0.497,138.855,19.043,144.836
0.590,-0.661,0.446,134.216,23.682,165.100
0.545,-0.438,0.395,126.709,25.879,186.157
0.488,-0.183,0.417,116.699,25.940,207.581
0.532,0.160,0.476,103.699,27.954,226.562
0.560,0.449,0.497,101.135,31.067,235.596
0.541,0.692,0.501,107.971,35.461,234.070
0.534,0.957,0.439,110.168,44.373,228.638
0.471,1.179,0.306,107.239,56.335,220.642
0.501,1.422,0.151,102.905,69.885,208.679
0.494,1.575,-0.108,99.854,80.750,191.467
0.422,1.621,-0.370,96.558,86.060,172.302
0.415,1.682,-0.587,77.698,86.060,160.400
0.432,1.692,-0.762,46.265,81.604,153.625
0.463,1.706,-0.851,14.404,74.829,145.996
0.547,1.768,-0.885,-7.751,65.430,133.545
0.636,1.797,-0.891,-6.165,49.622,110.107
0.733,1.775,-0.841,10.925,33.142,78.003
0.804,1.655,-0.757,30.945,17.944,41.260
0.863,1.463,-0.657,43.030,8.484,8.240
0.913,1.237,-0.575,47.180,2.563,-17.517
0.959,1.013,-0.499,48.096,-1.221,-35.950
1.000,0.795,-0.426,44.495,-2.075,-46.326
1.005,0.613,-0.375,36.743,-2.502,-50.537
1.002,0.475,-0.340,29.785,-3.418,-49.500
0.994,0.383,-0.305,25.269,-4.456,-43.945
1.000,0.330,-0.271,20.447,-6.042,-35.889
1.013,0.302,-0.198,13.489,-5.310,-28.137
1.003,0.281,-0.135,9.827,-2.991,-21.729
1.004,0.276,-0.077,10.315,-1.404,-16.846
0.993,0.294,-0.045,10.376,1.404,-14.648
0.981,0.307,-0.041,7.324,6.958,-12.085
0.958,0.324,-0.078,0.366,14.465,-10.254
0.923,0.351,-0.167,-4.395,20.996,-10.437
0.878,0.351,-0.270,-5.310,23.499,-11.292
0.859,0.376,-0.347,-8.301,21.484,-11.475
0.871,0.385,-0.423,-12.329,15.381,-12.085
0.898,0.360,-0.404,-12.878,5.432,-14.709
0.926,0.304,-0.330,-8.057,-4.028,-20.630
0.941,0.225,-0.211,0.061,-13.367,-27.527
0.953,0.139,-0.095,9.399,-18.860,-33.142
0.965,0.073,-0.019,16.846,-19.531,-36.072
0.969,0.013,0.002,19.165,-15.015,-36.011
0.962,-0.020,-0.022,14.282,-7.324,-31.494
0.953,-0.015,-0.097,5.188,-0.427,-24.231
0.937,0.013,-0.191,-1.831,3.723,-16.113
0.921,0.060,-0.275,-8.179,3.723,-7.935
0.927,0.126,-0.324,-16.235,0.671,-0.793
0.960,0.177,-0.311,-23.315,-3.174,3.906
0.977,0.193,-0.254,-23.621,-8.545,3.845
0.988,0.197,-0.177,-16.235,-14.709,-0.122
1.002,0.186,-0.091,-5.188,-19.043,-4.639
1.001,0.152,-0.022,4.944,-19.592,-10.559
0.998,0.115,0.010,10.254,-15.381,-14.893
0.987,0.081,-0.001,11.597,-9.521,-16.174
0.973,0.058,-0.064,10.742,-3.113,-14.771
0.957,0.051,-0.144,7.690,1.099,-11.230
0.952,0.072,-0.207,3.235,2.319,-6.104
0.958,0.100,-0.233,-0.916,1.465,-1.343
0.960,0.137,-0.229,-3.784,-0.854,2.502
0.962,0.170,-0.206,-4.944,-2.747,5.371
0.970,0.200,-0.183,-4.639,-3.967,6.775
0.969,0.224,-0.162,-2.808,-4.456,6.104
0.973,0.243,-0.146,0.366,-4.333,4.395
0.978,0.251,-0.144,3.296,-3.357,1.526
0.977,0.237,-0.151,5.127,-2.075,-1.465
0.968,0.208,-0.171,5.554,-0.732,-3.174
0.965,0.192,-0.199,4.211,0.549,-2.991
0.959,0.187,-0.224,2.197,0.549,-2.075
0.961,0.187,-0.235,-0.122,0.183,-0.610
0.960,0.190,-0.233,-2.258,-0.793,1.160
0.960,0.211,-0.230,-3.906,-2.014,2.625
0.964,0.224,-0.224,-4.822,-2.991,3.479
0.975,0.231,-0.206,-5.188,-3.601,3.296
0.983,0.231,-0.176,-3.601,-4.578,1.404
0.986,0.217,-0.151,0.671,-5.066,-1.465
0.987,0.200,-0.143,3.479,-4.333,-3.418
0.981,0.183,-0.155,2.930,-3.235,-4.456
0.977,0.172,-0.167,1.526,-2.686,-4.272
0.980,0.168,-0.170,0.488,-2.502,-2.991

0.852,1.339,-0.286,-68.542,-50.049,-21.301
0.880,1.352,-0.148,-61.646,-56.152,-41.382
0.891,1.342,-0.022,-59.387,-58.105,-60.547
0.884,1.302,0.073,-62.500,-57.434,-77.087
0.887,1.240,0.142,-72.693,-55.298,-88.928
0.903,1.169,0.214,-87.341,-52.063,-97.595
0.900,1.087,0.300,-101.135,-48.950,-106.323
0.888,0.987,0.379,-111.084,-45.654,-115.540
0.870,0.853,0.447,-117.676,-42.175,-126.221
0.833,0.704,0.526,-121.460,-38.879,-138.672
0.783,0.534,0.591,-118.530,-35.339,-151.672
0.733,0.327,0.634,-109.192,-31.555,-164.612
0.678,0.115,0.652,-103.577,-26.550,-175.720
0.634,-0.116,0.670,-100.952,-19.775,-181.885
0.571,-0.323,0.658,-97.534,-14.465,-184.265
0.533,-0.500,0.618,-94.055,-10.986,-182.922
0.508,-0.682,0.594,-92.224,-6.287,-176.270
0.528,-0.862,0.604,-96.313,-1.587,-164.673
0.562,-1.033,0.612,-107.483,4.700,-151.733
0.547,-1.235,0.618,-111.389,8.789,-140.930
0.562,-1.416,0.640,-98.145,8.911,-132.446
0.581,-1.597,0.638,-74.341,7.080,-124.817
0.571,-1.721,0.592,-49.072,5.798,-115.845
0.570,-1.818,0.521,-29.907,6.653,-104.065
0.589,-1.890,0.430,-23.254,8.118,-89.600
0.596,-1.963,0.385,-20.813,10.010,-74.585
0.601,-2.040,0.385,-11.292,9.521,-61.768
0.603,-2.131,0.405,2.014,8.484,-50.171
0.600,-2.267,0.439,19.531,6.592,-38.330
0.619,-2.377,0.450,40.405,1.953,-26.306
0.588,-2.408,0.433,60.364,-1.099,-13.000
0.552,-2.413,0.392,75.867,0.305,5.920
0.535,-2.336,0.333,81.665,4.883,30.945
0.530,-2.161,0.256,79.407,9.644,57.861
0.530,-1.977,0.196,78.369,12.146,82.031
0.540,-1.792,0.186,82.764,10.681,101.135
0.574,-1.598,0.231,91.003,6.531,115.234
0.580,-1.434,0.275,102.112,3.601,124.573
0.565,-1.270,0.318,114.868,0.854,131.592
0.568,-1.105,0.360,124.268,-2.014,138.306
0.574,-0.952,0.403,133.057,-3.235,143.738
0.569,-0.809,0.427,144.226,-4.028,146.851
0.535,-0.661,0.442,155.518,-5.676,150.391
0.541,-0.477,0.450,162.170,-6.531,155.029
0.540,-0.274,0.444,168.823,-9.094,160.034
0.525,-0.067,0.464,178.223,-13.855,165.649
0.542,0.175,0.480,182.495,-17.761,172.546
0.541,0.422,0.495,176.880,-16.113,180.176
0.551,0.651,0.512,164.429,-8.850,187.317
0.598,0.883,0.488,146.667,2.441,191.650
0.597,1.066,0.375,133.667,14.771,189.514
0.586,1.249,0.266,127.014,24.902,182.251
0.619,1.428,0.148,117.737,31.494,174.255
0.603,1.547,0.030,102.905,36.316,166.565
0.634,1.708,-0.087,85.266,41.382,158.142
0.634,1.832,-0.248,70.190,45.166,147.949
0.648,1.882,-0.423,58.960,46.875,133.606
0.636,1.895,-0.598,45.410,45.044,117.249
0.658,1.893,-0.705,30.029,37.781,99.670
0.716,1.868,-0.735,19.531,26.123,81.055
0.765,1.782,-0.702,14.465,11.658,60.181
0.813,1.671,-0.605,8.057,-0.671,39.490
0.853,1.548,-0.531,0.610,-8.789,20.752
0.879,1.414,-0.485,-3.906,-13.916,2.930
0.888,1.267,-0.455,-6.714,-15.503,-13.184
0.920,1.105,-0.453,-9.766,-16.724,-28.076
0.938,0.968,-0.435,-12.207,-17.456,-40.955
0.971,0.785,-0.404,-12.573,-21.545,-52.856
0.996,0.624,-0.316,-10.559,-25.513,-64.270
1.001,0.444,-0.211,-6.409,-27.771,-72.083
1.016,0.247,-0.102,-3.174,-28.809,-75.745
1.043,0.086,-0.012,-1.648,-28.625,-75.317
1.045,-0.030,0.035,-1.404,-24.963,-69.885
1.041,-0.104,0.035,-2.441,-18.188,-60.730
1.052,-0.126,0.005,-6.409,-10.254,-48.523
1.066,-0.126,-0.036,-13.367,-4.578,-36.133
1.068,-0.109,-0.066,-20.264,-2.563,-26.123
1.065,-0.088,-0.076,-24.109,-3.418,-19.104
1.053,-0.065,-0.075,-24.902,-5.920,-14.343
1.026,-0.026,-0.074,-24.414,-8.850,-11.230
1.026,0.006,-0.070,-23.376,-10.254,-9.216
1.020,0.016,-0.055,-21.423,-10.498,-9.338
1.015,0.023,-0.039,-15.137,-11.169,-11.841
1.013,0.024,-0.031,-5.676,-12.512,-15.320
1.015,0.031,-0.031,0.793,-12.939,-19.226
1.007,0.027,-0.024,2.563,-12.695,-22.095
0.996,-0.000,-0.019,0.427,-11.353,-21.118
1.001,0.003,-0.023,-3.906,-8.850,-18.494
1.009,-0.006,-0.018,-7.629,-6.836,-15.259
1.011,-0.022,-0.012,-9.888,-5.737,-13.062
1.020,-0.041,0.001,-9.094,-4.333,-12.329
1.020,-0.070,0.005,-4.272,-2.930,-14.465
1.019,-0.101,-0.024,4.089,-3.113,-17.761
1.016,-0.131,-0.003,13.245,-3.784,-19.470
0.998,-0.157,0.008,17.822,-5.249,-19.653
0.979,-0.171,-0.019,17.334,-5.981,-15.564
0.971,-0.167,-0.021,13.611,-3.113,-7.568
0.957,-0.122,-0.043,7.996,-1.038,1.526
0.954,-0.045,-0.073,1.587,1.160,11.230
0.956,0.036,-0.107,-3.967,2.258,19.043
0.959,0.109,-0.127,-7.996,2.441,24.353
0.966,0.179,-0.126,-10.620,1.770,26.489
0.979,0.238,-0.109,-10.986,0.916,25.513
0.983,0.273,-0.096,-8.789,-0.488,21.423
0.981,0.294,-0.094,-5.554,-1.221,15.503
0.975,0.307,-0.097,-3.723,-1.160,9.766
0.972,0.301,-0.113,-3.723,-0.366,5.371
0.962,0.294,-0.126,-5.127,0.488,2.380
0.957,0.294,-0.142,-7.568,1.282,0.793
0.956,0.318,-0.162,-10.376,1.709,0.305
0.959,0.341,-0.181,-13.977,0.977,1.587
0.962,0.362,-0.187,-19.043,-1.282,2.869
0.951,0.386,-0.191,-26.306,-3.357,3.601
0.940,0.403,-0.196,-34.607,-6.226,4.089
0.963,0.411,-0.193,-43.335,-8.606,4.211
0.979,0.400,-0.179,-51.331,-10.559,2.075
0.994,0.354,-0.140,-54.932,-12.573,-2.441
0.994,0.300,-0.100,-52.612,-14.648,-9.399
0.994,0.250,-0.065,-45.349,-16.724,-17.334

0.777,1.380,-0.618,-73.120,8.240,37.170
0.784,1.569,-0.632,-87.830,4.089,36.804
0.791,1.755,-0.637,-106.995,0.305,30.518
0.781,1.881,-0.624,-126.526,-4.456,15.198
0.745,1.925,-0.574,-144.348,-12.939,-7.080
0.698,1.910,-0.486,-157.166,-24.963,-34.973
0.641,1.830,-0.356,-161.987,-39.063,-66.833
0.574,1.715,-0.209,-161.316,-53.528,-99.548
0.532,1.539,-0.049,-161.194,-67.078,-131.104
0.549,1.272,0.139,-166.687,-75.623,-164.429
0.516,0.894,0.427,-170.837,-82.397,-205.078
0.414,0.386,0.755,-154.297,-94.788,-249.023
0.336,-0.158,1.056,-117.249,-104.065,-288.452
0.321,-0.719,1.413,-73.120,-100.159,-315.796
0.267,-1.319,1.633,-34.546,-87.402,-327.515
0.179,-1.801,1.625,-9.644,-64.270,-318.542
0.175,-2.046,1.381,-4.211,-32.715,-280.396
0.209,-2.066,1.030,-26.489,-3.723,-218.323
0.239,-1.946,0.664,-80.505,19.714,-148.071
0.390,-1.833,0.430,-149.414,42.175,-86.304
0.507,-1.748,0.384,-197.693,51.758,-48.828
0.631,-1.736,0.513,-195.679,42.786,-42.786
0.681,-1.867,0.698,-134.155,21.973,-66.345
0.658,-2.117,0.835,-40.894,-2.075,-105.164
0.572,-2.353,0.840,47.302,-21.729,-139.282
0.439,-2.555,0.724,115.234,-31.372,-158.386
0.249,-2.854,0.569,155.396,-30.273,-155.151
0.113,-3.088,0.423,162.964,-23.315,-125.366
0.105,-3.161,0.286,150.696,-19.592,-70.862
0.176,-3.054,0.183,134.338,-18.555,-10.498
0.245,-2.871,0.116,121.521,-16.174,41.443
0.280,-2.593,0.166,113.586,-15.442,81.360
0.278,-2.375,0.258,117.371,-20.264,107.422
0.304,-2.127,0.359,137.573,-29.236,123.474
0.302,-1.888,0.437,169.983,-39.368,136.597
0.270,-1.641,0.488,196.167,-47.974,152.527
0.229,-1.362,0.501,203.369,-55.237,172.546
0.189,-1.077,0.537,193.237,-59.753,198.059
0.159,-0.770,0.611,173.767,-61.340,226.440
0.135,-0.410,0.725,158.325,-61.646,252.380
0.162,-0.005,0.857,154.602,-61.707,273.376
0.239,0.368,0.966,154.907,-60.486,288.330
0.303,0.676,1.006,155.640,-54.932,294.678
0.283,0.962,0.925,156.311,-45.105,295.288
0.261,1.274,0.803,150.757,-30.334,296.204
0.276,1.546,0.625,145.508,-13.489,292.236
0.286,1.771,0.438,151.672,3.296,276.245
0.266,1.942,0.211,161.255,13.794,252.808
0.246,2.110,0.013,155.701,15.015,231.384
0.240,2.261,-0.143,127.319,11.414,218.262
0.281,2.391,-0.222,78.186,10.376,212.341
0.387,2.501,-0.291,17.212,18.066,205.322
0.453,2.498,-0.430,-31.738,28.809,190.430
0.496,2.421,-0.570,-56.763,36.133,165.649
0.630,2.348,-0.646,-54.321,32.288,129.700
0.754,2.243,-0.685,-25.940,16.907,83.008
0.829,2.025,-0.639,17.273,-4.395,31.128
0.897,1.774,-0.519,51.331,-25.879,-13.428
0.958,1.503,-0.360,65.002,-41.199,-45.593
1.004,1.225,-0.233,62.866,-45.105,-65.796
1.052,0.972,-0.118,45.898,-41.016,-71.106
1.101,0.756,-0.056,20.691,-36.194,-69.946
1.148,0.580,-0.004,-3.113,-27.771,-64.392
1.153,0.444,0.030,-16.235,-20.996,-57.129
1.162,0.319,0.078,-17.517,-16.541,-50.354
1.187,0.249,0.129,-13.916,-14.038,-46.509
1.189,0.197,0.163,-10.742,-13.428,-43.640
1.194,0.171,0.200,-7.935,-11.658,-40.100
1.174,0.160,0.205,-4.639,-8.362,-35.461
1.158,0.176,0.197,-3.540,-3.967,-31.433
1.123,0.194,0.161,-7.202,1.953,-26.428
1.075,0.233,0.094,-15.625,8.423,-20.386
1.054,0.271,0.008,-24.902,11.963,-14.709
1.043,0.303,-0.039,-33.386,13.306,-12.268
1.019,0.313,-0.064,-38.330,12.207,-13.245
1.001,0.280,-0.058,-37.292,8.911,-16.052
1.002,0.253,0.001,-28.870,3.967,-21.362
1.016,0.222,0.061,-14.954,-0.977,-28.992
1.012,0.178,0.102,-1.892,-4.517,-36.621
0.999,0.138,0.116,5.737,-3.967,-42.175
0.981,0.098,0.098,7.874,0.977,-43.518
0.965,0.060,0.057,4.883,6.775,-40.527
0.944,0.047,-0.007,-1.526,10.010,-33.997
0.948,0.062,-0.060,-9.033,10.437,-26.672
0.948,0.081,-0.092,-15.686,8.301,-20.447
0.961,0.083,-0.089,-17.456,5.066,-17.151
0.967,0.087,-0.057,-15.442,0.671,-15.991
0.969,0.083,-0.006,-11.292,-3.601,-16.418
0.969,0.086,0.049,-7.019,-6.531,-16.846
0.963,0.108,0.073,-3.662,-6.897,-16.663
0.963,0.130,0.063,-1.770,-4.211,-16.357
0.971,0.137,0.026,-3.967,-0.305,-15.320
0.967,0.127,-0.017,-7.141,2.869,-14.771
0.972,0.099,-0.040,-6.470,3.967,-15.442
0.976,0.070,-0.051,-3.845,3.601,-15.808
0.971,0.051,-0.053,-2.930,2.258,-15.076
0.962,0.039,-0.049,-4.028,1.099,-12.695
0.953,0.042,-0.052,-7.263,0.793,-8.057
0.940,0.066,-0.070,-11.902,1.282,-2.808
0.946,0.105,-0.082,-16.174,2.014,1.465
0.949,0.134,-0.089,-17.578,2.869,3.601
0.953,0.160,-0.082,-15.808,2.869,2.991
0.968,0.165,-0.050,-10.986,1.709,0.000
0.969,0.155,-0.024,-5.371,1.099,-3.235
0.969,0.147,-0.014,-1.221,1.099,-5.981
0.970,0.130,-0.012,0.488,1.526,-6.836
0.968,0.119,-0.024,-1.160,2.502,-5.920
0.961,0.106,-0.034,-3.235,4.150,-4.150
0.961,0.094,-0.042,-3.845,4.517,-2.686
0.958,0.097,-0.064,-3.357,3.540,-1.221
0.968,0.111,-0.071,-2.502,2.319,0.244
0.981,0.125,-0.054,-1.221,0.488,0.854
0.992,0.135,-0.024,1.892,-0.854,0.000
0.998,0.131,0.005,5.066,-1.526,-1.160
0.998,0.126,0.021,6.287,-0.977,-2.014
0.986,0.118,0.014,6.104,1.221,-2.197
0.982,0.119,-0.012,5.005,3.296,-1.526
0.975,0.130,-0.048,3.113,4.150,0.122
0.973,0.145,-0.079,0.183,3.967,2.136

0.839,1.448,-0.436,-63.049,10.376,22.095
0.812,1.567,-0.452,-74.768,8.728,16.357
0.800,1.688,-0.464,-86.060,7.141,8.789
0.790,1.778,-0.443,-95.764,3.418,0.061
0.787,1.848,-0.408,-106.567,-2.686,-10.071
0.795,1.898,-0.341,-121.155,-7.874,-22.766
0.780,1.888,-0.267,-137.451,-12.695,-39.063
0.731,1.803,-0.196,-152.832,-17.212,-58.350
0.660,1.694,-0.124,-163.208,-23.376,-79.468
0.588,1.560,-0.042,-169.678,-31.921,-101.868
0.502,1.397,0.072,-174.316,-41.748,-123.901
0.503,1.190,0.215,-178.162,-51.514,-145.935
0.467,0.874,0.421,-181.335,-58.777,-174.072
0.402,0.444,0.671,-173.218,-67.078,-209.229
0.331,-0.055,0.968,-144.958,-76.782,-245.789
0.288,-0.552,1.243,-103.577,-78.552,-276.733
0.299,-0.949,1.397,-71.411,-69.397,-290.955
0.293,-1.389,1.455,-63.660,-49.072,-286.743
0.276,-1.901,1.457,-71.106,-19.836,-269.409
0.272,-2.400,1.414,-69.336,6.348,-246.948
0.296,-2.789,1.289,-46.814,23.254,-221.191
0.341,-2.981,1.069,-20.569,34.424,-187.866
0.332,-3.036,0.802,-10.132,40.771,-144.714
0.332,-2.981,0.526,-20.203,46.753,-91.248
0.419,-2.802,0.336,-45.776,52.673,-34.119
0.513,-2.594,0.231,-70.007,53.406,11.230
0.575,-2.380,0.225,-76.172,45.715,37.598
0.618,-2.210,0.269,-49.866,33.875,44.556
0.633,-2.116,0.304,2.991,22.156,37.231
0.603,-2.012,0.289,61.523,11.902,25.452
0.563,-1.943,0.252,107.117,4.639,19.165
0.531,-1.874,0.207,128.723,2.197,23.743
0.499,-1.806,0.139,130.859,2.441,40.039
0.486,-1.682,0.099,124.023,3.296,64.392
0.472,-1.485,0.045,115.784,3.174,89.355
0.475,-1.333,0.036,113.281,1.343,109.009
0.483,-1.176,0.035,115.234,-3.296,123.901
0.474,-1.023,0.057,121.887,-9.033,135.132
0.488,-0.860,0.106,131.165,-15.747,142.273
0.502,-0.709,0.152,141.541,-23.315,146.423
0.509,-0.581,0.226,154.236,-31.738,149.231
0.521,-0.418,0.315,169.006,-40.100,152.649
0.516,-0.216,0.421,185.059,-47.363,158.020
0.539,0.017,0.563,196.655,-52.551,165.833
0.577,0.258,0.702,194.336,-51.208,176.819
0.562,0.468,0.766,176.575,-42.358,190.674
0.516,0.675,0.734,149.048,-28.748,207.642
0.519,0.908,0.657,117.798,-9.583,224.792
